model,g_param,train_time,score,pred_time,test_score
Keras_3L,"{'layer_d': 3, 'lr': 0.0191, 'eph': 21}",1.59,10.467082023620605,0.06,10.298154830932617
Keras_2L,"{'layer_d': 2, 'lr': 0.0161, 'eph': 23}",1.67,10.7870454788208,0.06,10.779891014099121
Keras_1L,"{'layer_d': 1, 'lr': 0.0841, 'eph': 30}",1.91,10.598631858825684,0.07,10.848495483398438
Keras_1L_SC,"{'layer_d': 1, 'lr': 0.05, 'eph': 1017}",53.59,44.19625473022461,0.05,78.12598419189453
